Episode,System_Avg_Reward,Rolling_100_Avg
423,-136.70,-489.83
424,-228.16,-486.62
425,-129.40,-482.83
426,-325.88,-478.39
427,-413.57,-476.36
428,-363.55,-475.12
429,-345.14,-473.02
430,-273.28,-470.11
431,-337.39,-468.41
432,-391.55,-465.59
433,-209.33,-460.90
434,-279.67,-457.96
435,-354.96,-454.98
436,-347.29,-452.04
437,-158.11,-447.64
438,-161.20,-442.11
439,-414.73,-441.45
440,-268.13,-439.17
441,-357.52,-436.47
442,-286.76,-431.20
443,-253.89,-427.58
444,-150.70,-424.81
445,-173.94,-421.41
446,-473.99,-418.42
447,-244.97,-414.47
448,-223.96,-411.99
449,-312.91,-410.01
450,-220.75,-407.80
451,-294.01,-404.30
452,-188.66,-399.73
453,-131.68,-398.14
454,-151.56,-392.86
455,-274.42,-390.55
456,-309.14,-388.05
457,-244.24,-385.28
458,-186.76,-380.54
459,-203.63,-376.30
460,-256.36,-373.66
461,-194.33,-369.77
462,-336.01,-366.93
463,-233.89,-363.32
464,-213.02,-360.79
465,-51.62,-356.32
466,-288.18,-352.27
467,-77.90,-347.10
468,-103.62,-343.28
469,-132.16,-339.99
470,-24.05,-338.13
471,-192.59,-333.92
472,-65.38,-329.19
473,-158.68,-325.60
474,-84.68,-322.06
475,-26.58,-317.81
476,-172.04,-313.72
477,-140.85,-309.73
478,-144.44,-306.75
479,-7.67,-302.17
480,-109.12,-299.88
481,-409.04,-299.46
482,-343.22,-296.97
483,-314.16,-296.07
484,-479.84,-295.61
485,-421.16,-297.21
486,-601.55,-298.22
487,-571.05,-299.26
488,-355.96,-298.42
489,-676.11,-300.74
490,-259.08,-299.09
491,-416.09,-297.07
492,-264.00,-295.32
493,-122.69,-292.43
494,0.59,-288.29
495,-96.99,-286.06
496,-233.29,-284.26
497,-104.81,-280.13
498,-237.15,-278.31
499,-223.95,-277.01
500,-97.56,-274.89
