Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8
-4830.048909659501,-5378.296294801077,-3908.5403663698744,-4804.480911968709,-3767.4372609179727,-594.058788414097,-6189.097112862333,-4642.444954655271
-4316.313586466259,-3403.3594488243716,-3781.1998822470837,-4088.9551990972977,-3938.1779575027936,-528.4461647910414,-3800.9444861277652,-5897.081576596649
-2877.7472789908375,-3834.8011961277925,-5075.5310735392495,-4712.49604759754,-4084.1461891578806,-416.6553844081344,-4349.071781938367,-4796.1159721065105
-4885.433593830867,-2524.7643445575764,-4265.826927065837,-4532.219006274177,-1674.1679312258157,-122.95969951453208,-4315.341945034779,-5511.907250533073
-6085.726156871935,-4618.6944172070225,-4518.991035900878,-4107.004238130315,-2968.3028592511473,-244.14680355860418,-4561.864094663795,-3726.6607259279135
-5285.985345708185,-5673.858814294825,-3797.0886356889814,-2739.582596221559,-2883.291321277625,1.9855726496425916,-3135.555286006599,-5492.716800400861
-6806.615359584902,-3958.7248463346796,-3075.7886462607985,-3519.7088554584952,-2655.0919194210996,-27.263061306865573,-4325.815543494852,-2943.30170272927
-6506.775038322318,-4180.512390411814,-3971.548866649117,-2958.918896314434,-2860.711371459333,-42.5622526027645,-4427.216780715205,-8168.841468795909
-5655.681213188387,-3754.123263940618,-5246.135167670442,-3563.289264204866,-1961.2291304540586,-69.07781811534262,-4574.104586231786,-8202.005430565525
-6407.280803026895,-5158.5143479197395,-4474.178775034101,-3075.2478567644885,-3074.209011503185,-49.574021285863665,-4956.277409472337,-5785.6981592713955
-4641.622133017286,-3847.385398793718,-5205.423297728249,-3033.24192852415,-2680.339993407153,93.15109646236107,-4793.214655689722,-5993.069239642276
-4252.961328646987,-5312.4065879212085,-4529.261541902881,-4554.458515562381,-2253.336275014408,-67.83584280648066,-3498.0659011404337,-5450.139967160263
-3893.591852587055,-4053.5262773638624,-5292.304202829611,-3094.5614552805164,-2568.9296227596333,34.67280396879753,-4535.036164003281,-5435.558908418839
-4230.536826395461,-3641.6344343214105,-4787.303432806601,-3483.3446781001876,-1951.1924765661963,-21.82622830271478,-3845.4983164178066,-5157.438526515418
-3873.158545271369,-4742.132937385895,-5401.513125204265,-2833.444536375784,-1856.4709441284576,-42.90444731482743,-4144.607983775506,-3920.046886038238
-4368.298577916956,-3735.300990594782,-1652.8683779135856,-2518.3061856613476,-2983.2120626807873,-78.45046619865039,-4685.42024788701,-2634.214253838116
-4112.118910958328,-3806.6359919129077,-5169.0377033972745,-2232.8346360836117,-2164.5754592131907,170.87583862639713,-4106.323415779789,-3799.671407424504
-4202.2155201038,-3714.7105971807073,-4218.056989570248,-2670.150337866509,-2288.7637742667926,166.57148361099564,-3820.585398346046,-4307.297571230933
-3691.1450678500823,-3235.653158410153,-3368.3505020719317,-2005.6124057830232,-1370.7946478071703,121.09627807779738,-3273.6167414595548,-4238.986485369288
-4291.320345037972,-4171.039135875122,-5233.527681786846,-2902.962798412167,-2283.380895927233,-23.880557384305803,-2355.457479942049,-3174.0934786819025
-3890.3443838459903,-3539.9299175761325,-4760.34092535539,-2413.38601700234,-2006.214400057673,112.95443309010257,-3148.2001438975367,-4580.925647822456
-3698.481155429252,-4196.35900512946,-3782.137468735791,-2270.9786623630716,-2623.2956875697964,25.572078431513248,-2812.1691998157366,-3934.657570254786
-4167.344507527923,-3401.627783459408,-4449.883788349342,-2120.4781944551805,-2439.4993592660703,64.04743252209668,-2381.1877013824314,-3493.1752149312815
-3936.5103135643863,-3712.3176332424637,-4712.3967104739895,-2494.697120351646,-1359.7716426191014,-25.181765979676484,-3029.5413455716725,-3330.3779329344657
-3739.0777640884926,-3712.361034318231,-3888.439109812459,-1940.3620320187235,-1911.7249174795325,265.11410293789334,-2401.012640455333,-3503.0373815515695
-5116.579529902103,-3362.4800199555702,-4772.671329896929,-1784.0265788206161,-2033.3212946423728,128.11087795725453,-3106.574785036319,-4151.843843965077
-3444.8900933719406,-3342.271651480417,-3565.4077185648443,-1755.5439365291818,-1932.772449905598,168.84573912309733,-1971.9714403325731,-3386.7338947082117
-3397.612260227823,-4077.7461666679246,-3759.864230420838,-1190.7399679034584,-2493.7768179041323,223.33029607008336,-3001.5066373414656,-3840.8858841765327
-3136.2378250427737,-3877.2132602596507,-4118.640272048982,-1561.1650770050746,-1849.8477785355053,264.9349700410522,-2809.75400317147,-3409.6709124437575
-2807.761493027686,-4193.581741071007,-4550.344091123879,-1781.899207379415,-2247.8013054914063,317.56836695568626,-2108.5292748018283,-2760.941706185231
-3664.829742199141,-3536.9921103116985,-3960.0499555762317,-1470.7853375468474,-2200.2043932177694,453.80072249324644,-2611.3231795686506,-4089.004624280037
-3766.688441308782,-3589.6555093014986,-4063.983195155009,-1513.0194884160137,-2587.3189970831727,302.19628269930195,-3303.143756439388,-2971.74407283991
-3502.310288834148,-3388.442982793344,-3790.8038260151775,-1481.0696086258954,-1568.8719921272054,229.51393705111298,-2471.4377662851375,-3971.262943684065
-3169.9573622043526,-3460.6412226456787,-4076.4009849589115,-1221.0144442372775,-1629.1196241173648,211.2752445469391,-1969.1225940703844,-3544.4794218901407
-4990.935060609385,-3846.045528376704,-4897.61571787428,-1631.4735603876588,-2308.103150944742,350.93325333976316,-2658.6555193571103,-3322.689076607172
-3473.421632203581,-2999.717357803852,-4574.752552317632,-935.1354924578986,-1621.725073658395,451.7666900725445,-2117.7777251788775,-2802.8466766208894
-3846.889048199935,-3867.414825500082,-4774.767777343821,-726.0746231858127,-1160.9399581184684,185.61817254385977,-2328.953383346219,-3287.0364088451324
-4083.1679439642553,-2911.0275583390257,-4396.766151880129,-1112.4986562892625,-2543.0334563774877,270.56871462277354,-1721.8938660720232,-4271.356727597543
-4247.116752756986,-4121.5444071195,-4350.004980635849,-652.261419189517,-2560.8054147867942,201.98588758530485,-1960.5939305526058,-4617.895515036722
-3408.4576243239608,-4505.313799961076,-4071.8481277599767,-1299.752380661716,-3670.170678680405,300.76072599683005,-2382.8606061921737,-3860.758096977807
-4103.937265775102,-3630.1220999490406,-4179.238440926005,-975.8094967361722,-3323.6055367390886,339.3130351007799,-2155.3279301260336,-3780.7362292688936
-3550.8736970525206,-3886.1931333291086,-3397.251878139861,-645.6343848912153,-3191.1464976606194,294.6034380796067,-2054.526163642654,-1780.3586898353733
-3744.8822877630796,-3388.709527191503,-4620.450126872351,-422.91665210331365,-3022.5433394656893,256.1005775680362,-1662.043620980558,-2819.0136486107845
-3706.639165875315,-3115.431808370601,-4095.307506513597,-421.09008484714565,-2659.150685609666,248.02924172175767,-1432.5462482998096,-2916.6321198889586
-4163.87102256905,-2501.1547778999284,-3626.29916675446,-1279.3722552875029,-2467.726370781604,319.81763213109093,-2257.8680391588996,-3395.2625811685834
-3658.4663106984053,-3337.4866386558397,-5376.947876886166,-1048.701934383048,-2496.513270901974,201.5370902044499,-1757.3205847254535,-3522.4236595490356
-4320.701680812651,-3196.3184040363662,-4297.612169101467,-683.3400517739005,-2898.277716768583,236.5100323392665,-2152.2119285616473,-3594.77411285548
-3213.411424266517,-3152.2235478209404,-4053.1052541977792,-414.13160211736056,-2253.7400817646776,418.2704935357162,-2044.311301087247,-2949.1665821156084
-3434.6576636793725,-3773.050427283889,-3524.922527466752,-575.2136240237608,-2308.927666634642,400.75583574169286,-2359.792750285735,-2490.6293864273775
-3581.2086538697813,-3868.322349903227,-4277.297174545366,-1257.6453872979948,-3009.1007953249377,305.53263721848134,-2039.4640994859571,-3384.671265399512
-3552.6001234405026,-4424.805461898003,-4202.366139229121,-708.5648195267001,-2539.0734050332926,254.23905916478512,-1403.480370363155,-2767.4224283638805
-3290.312987100506,-3796.369869025576,-4732.2416741954385,-703.6817119325367,-2213.3806044836074,301.93608366285366,-1277.1701818107158,-5092.404856179757
-4644.211046905305,-3464.0589521772577,-5055.708423350039,-324.1101101190468,-2383.0022988702885,228.4189335303399,-1593.4193152010255,-3431.171056949034
-4021.8917935680074,-3054.573898306163,-3916.0694107032086,-988.331928299748,-2746.5505137601676,345.932468874349,-1596.099695397112,-2820.6112935873175
-5983.846721555652,-5027.365379927716,-4387.818207863234,-911.324382764547,-3630.289985622566,291.32847011590746,-1749.8432526450758,-3567.628472000043
