Agent 1,Agent 2,Agent 3
-47.6288879034391,-62.739539967388325,-283.07016096474337
-124.00973674938116,-114.47228038132296,-315.4075162221014
-27.34423345847103,-72.62027035266232,-224.27988701776144
-32.22369574645802,-34.87331678051225,-173.36308173611988
-55.934310834240435,-210.5296973952929,-172.10437651256956
-34.5264244699803,-85.00580398534935,-187.195066194172
-55.65670198820965,-67.5662940067902,-253.4650732344853
-52.8169722052747,-59.59457937173582,-207.54816118437685
-19.88282978657384,-71.21389574260343,-188.27269762948487
-55.3938218951553,-59.51518056725467,-237.23553732334037
-55.79636548661792,-95.91336972256366,-190.50911197588854
