Agent 1,Agent 2
-82.88477241669595,-156.49223935389762
-125.69363402893418,-215.97490823286626
-138.1352852791549,-188.28496212047264
-87.09855355679103,-156.14438935138807
-164.8710021436777,-134.22653148484338
-121.17878905618223,-141.9031949874284
-120.19959215601322,-229.07430820153232
-99.54987856291187,-204.21229771884276
-96.9483241043286,-133.77631631038105
-75.04633238195554,-149.05482979544158
-92.78147897451068,-155.17261445082397
-88.57444407386645,-177.438228165533
-89.59692123723283,-180.18184575145855
-82.97652260396822,-126.23773627191538
-91.48384094615702,-178.37186950105792
-78.41214586899285,-139.22738186144304
-74.76952184329436,-257.59067303304886
-84.76484770716607,-196.27898113591274
-67.9385752992828,-132.03409375656054
-72.8740401673905,-316.3549249887813
-75.3490516152801,-193.3483049891123
-65.76148318787403,-222.33541273478818
-39.80206505643919,-219.81227108029617
-66.50627866544232,-254.54967952182943
-56.155371671380095,-165.06518268861413
-238.12524423478553,-164.94875395289114
-42.74857249474489,-192.3270955887741
-67.47135199455208,-214.8881112727587
-81.46478458582288,-168.04492293490395
-450.4014477963856,-200.89284815291276
-245.3177540135453,-198.1046659419296
-46.79432795353777,-234.8803567021117
-34.259668528288614,-158.61861316076664
-59.91885274615349,-221.4187509237125
-109.92358734584721,-191.06259162586545
-164.1506148938333,-146.8322024304309
-44.85334832894319,-209.11275396506358
-61.67780729537227,-205.200353497344
-112.95235963134645,-163.1274008199201
-71.87283837496112,-164.70035732949577
-41.21841527637812,-174.46989250982256
-61.93755602221087,-226.45482193994255
-77.55755816121777,-203.5753319039555
-54.69630376545063,-155.5114167013237
-81.58733677096217,-209.11196065636233
-59.55431710544519,-161.74639736602313
-43.24917450589714,-156.5075455321121
-33.88993507412764,-235.88201186127338
-40.98891531556886,-136.3405018834166
-45.40304939157576,-170.42098842871127
-28.87238225078448,-259.772053607741
-49.489604212286054,-157.86348910175613
-48.63974235893416,-185.80639052591337
-79.34487396813438,-155.59689090600907
-86.54714907068563,-300.17787477530754
-168.02368753525448,-232.6173222591044
-64.19794124811924,-227.16810577272673
-49.061510007739955,-288.3409067260278
-31.151880348301678,-199.89122949274935
-103.32214137598541,-196.25598301479775
-116.37572159481242,-104.3958005707408
-36.33166930292963,-230.9269342389226
-31.44292753081407,-168.93591064242318
-33.310243745654454,-152.71556443303538
-128.4344306949797,-161.37768918135092
-179.61610757777353,-199.19112427690897
-43.468830106146065,-166.88973736921474
-54.848684213241945,-145.0200284129025
-40.73851669197331,-170.47106181402663
-127.74464786305973,-124.76752907965658
-200.7090074551539,-128.67917808949352
-42.477832811996386,-218.92573053601785
-50.73153466218429,-213.50882361517893
-37.23715454436183,-146.2537046633008
-45.187574316176466,-167.14558223543045
-53.64249476466225,-163.22546895248345
-43.871022632164554,-211.85742446828283
-38.1468310426548,-226.84435582566954
-103.9861576123621,-150.88449221584864
-61.00629324788421,-183.33468919285784
-181.4666712712317,-282.3451403089341
-40.886306492545145,-245.999418421052
-28.77379734282931,-219.73028930312347
-50.13967855104558,-283.9509641829417
-34.05662584118738,-230.97635361651356
-84.45389590726629,-180.07245169632174
-40.47180643835977,-140.52257759627005
-24.764267876930813,-206.81901702710286
-25.050835102191325,-188.62388387498444
-91.435901647191,-165.1933373402729
-155.93199696059597,-156.48341231497926
-40.61700850527146,-120.3843004628834
-3.8790953928103837,-131.98021536914288
-44.225769892621976,-126.45660091304936
-30.70865832213842,-160.8393667243815
-57.83309102752431,-153.5349470311624
-40.551685934047555,-179.12106885920548
-28.803093888567222,-199.26400113040236
-23.28801558291112,-169.72642321336204
-47.29938547443283,-140.38180487794222
-30.578306152135184,-175.61593813473397
-15.407413456841418,-151.12952674250516
-32.92285178246114,-168.56169404029066
-22.155773300367773,-141.89271437384434
-24.538027673445324,-183.46037468834407
-52.49385318809375,-148.42673423611657
-43.87111614413847,-172.3390117049512
-21.0450499508317,-172.97545098440887
-31.01205057776186,-220.93750228585623
-121.99582826457879,-144.0607536723516
-60.38861782533932,-154.32942161346875
-54.27379533345221,-110.02787019876666
-40.73495390927116,-194.61237126200137
-5.241370183805547,-171.1803309326844
