Agent 1,Agent 2,Agent 3,Agent 4,Agent 5
-83.70753345308115,-124.05475268020791,-183.91066170614056,-56.199940719636636,50.553897557064985
-109.34732100176223,-154.76295152250484,-210.79696156168876,-42.34200777494409,-2.4200895054254588
-87.5539514054875,-122.32660881986708,-196.70291574550023,-136.14789421929018,103.60284379300171
-190.30617179066243,-147.00238146347442,-178.17006452795195,-87.13073269930746,95.73622368563358
-92.25949966782777,-178.8527801346821,-145.31938427384196,-33.773166147622334,17.700005261810986
-112.7585460988882,-150.25071016060474,-134.0118625678853,-71.42873174898787,50.26847847007066
-72.5752045290782,-192.83839624183696,-211.23860658799694,-20.410891814436745,112.75789680650283
-160.23205825073882,-193.97163157144328,-194.8263774059332,-6.511145936917744,17.50158506269341
-107.95705339097997,-145.86861435703807,-155.12647847439672,-18.860008097241046,122.88025934458638
-124.03042555836629,-170.82798591918916,-233.18595799446047,-2.612025993181826,-0.30539703828295117
-156.6419606227956,-176.24151700083468,-141.55149405042323,-12.297507915940294,-6.626377214199063
-176.89269437908624,-160.00581882207837,-156.85680773525803,-7.983238467061168,-13.185564943521344
-112.4628078030295,-173.16632186581108,-167.65331242817564,-70.96382403036228,41.60310114616643
-87.62654629612769,-203.8454242807967,-155.53696475905858,-433.8250311380494,89.81311548178564
-85.1019005902896,-185.29720515819596,-186.6279684667341,-71.05804152597331,89.53956193370598
-104.73343152717672,-176.28170308651764,-142.97394550085153,-50.5947343343772,54.8076281432046
-81.67141536989965,-151.96210128401447,-165.67604154690542,-161.519466552529,84.89454094259318
-75.65223511323038,-193.98992191222413,-140.391792977968,76.22583855245188,21.46603409761961
-107.26261297652528,-190.5662508392367,-172.93850499075054,-28.78623970404766,73.97896820869497
-92.23550573574751,-146.12987048986636,-165.16712849271005,37.23226265107984,237.83149299468658
-76.05589409951459,-297.56148367208345,-184.1644055182046,-137.38545270603245,120.50679688611369
-95.36968114340705,-208.76062944768034,-124.38749064111217,30.47401085939306,72.64829322107886
-116.55586713912881,-195.3081328818249,-172.30497740790452,-13.484887534043159,146.95061525464604
-148.52858868474615,-182.60182004361022,-145.81926477464438,45.5639945806168,97.29649746765591
-89.57674122055136,-170.42209656904188,-143.78490913649404,-78.62193935777586,231.38630174161455
-83.12549419454066,-162.339646316346,-141.58802963675643,36.929760936863396,141.27809065508814
-158.54259576172598,-199.95269907313366,-151.02211950632164,-35.05636902129362,78.64356784556324
-89.60670070954083,-214.52035678276434,-169.5282944778949,-21.75961068604148,184.65715927334634
-93.12745914901926,-153.06516779381204,-141.71925533693,18.24188486438159,203.97183847735892
-71.0300926523027,-186.2494393293372,-143.46927343009352,22.234885840599347,196.14509212891807
-56.759431731319864,-182.71747396994317,-133.4451335020937,-50.981766719819205,157.45750462659365
-125.61227721854569,-176.12731273297717,-170.8550490965465,-89.55711392594797,137.38540789059206
-76.18164336766577,-145.0400195895948,-178.17137497346482,20.152858635521742,188.32044200939427
-105.19473200820472,-166.86434483008532,-202.26380869235206,-100.84795996903377,128.75777497098377
-87.5846292308529,-132.78959685864766,-152.41660353951758,80.69608416340438,156.95482619222966
-68.2829550818022,-153.4459031282406,-204.12924102828404,-27.0961751902005,203.63122856400233
-100.71663264432812,-148.9603976379504,-170.7961199932473,12.816123667104769,129.4077169732985
-96.2115024343611,-136.38719318906416,-187.58479604940877,78.16399989351858,184.6969256366488
-88.77028398476295,-175.1392869753053,-192.74349333514095,-88.68548365051325,251.9840876713625
-61.33540149022989,-149.95502880835582,-256.2498812859182,56.71957837198651,144.4015611767124
-85.92053635171223,-192.27791794671637,-305.25383387246484,127.26080904569494,254.61060815337214
-67.06727983114808,-93.42867430053171,-292.8305976718945,101.03288744811796,183.49576809617906
