Agent 1,Agent 2
-109.38128026900375,-209.22069310827652
-103.08420183039286,-320.4545745701373
-198.02964441229233,-84.86271554969849
-375.65606219345545,-173.67726538425768
-130.52080219531825,-100.78159146445473
-277.17642275413004,-174.01135375036728
-121.03838317532639,-109.89607581337509
-491.93730906872486,-336.1089485879814
-127.66915084522343,-166.4544740994214
-117.68236571728632,-242.71094682534957
-346.4892807512929,-230.0212407641864
-39.55343048971467,-110.6047677644229
-86.93277019091458,-517.4207085170038
-407.8924764363088,-150.3271671225383
-231.3648608441331,-122.59880581132383
-413.1132174797533,-121.64228468114031
-226.87571584423767,-176.75032285105715
-281.3988966637812,-85.74922007236216
-99.5558256728863,-107.10351064086588
-223.96296550314668,-196.88187346335857
-159.89807397415495,-166.88329048295708
-136.27475065811515,-123.02582052864808
-264.2717802869149,-287.97953739131367
-148.83354354521504,-149.85689582881528
-202.08106834327688,-212.47137422846708
-275.9264681550801,-90.54703479112679
-109.21723360685276,-450.42465889423204
-118.55646652539598,-36.12516254926797
-124.80441814023655,-240.31557463503952
-97.49223998620882,-448.18206541233235
-140.27624817420605,-64.64481227989617
-360.80557162222146,-280.790136740733
-167.0943945157116,-308.7793953344516
-78.3324673239768,-55.918333902223395
-376.64509565060536,-280.0859822100169
-107.4594769745201,-315.39544008336964
-37.49289533385843,-128.46651718463994
-89.63628308547386,-39.41499297720802
-171.70610415256402,-155.97770811686615
-518.9022456923605,-299.11391151546513
-84.90799452058496,-137.8228014911605
-230.3083091578054,-105.65693938312174
-84.92661372909723,-182.85658357765843
-442.8026539840913,-172.2191967078161
-333.8648774509927,-231.7761997273848
-249.23002427611002,-103.45399374593059
-372.96304798662436,-118.03850210055795
-172.45576179246603,-332.07697261837836
-509.30388706543886,-230.96311451274613
-91.29196712232194,-117.39223096472516
-145.93724737444208,-98.82158957941766
-200.71138109886817,-128.73908440410094
-298.26140424530945,-133.3509358498364
-200.34219046854508,-141.7240683007738
-25.737801415975838,-131.14020679950625
-57.655013190638776,-101.21383769215745
-179.69113040938208,-320.83267839750727
-35.28420450242764,-61.505257980536214
-353.60523550017336,-117.54070668240436
-199.4166390718293,-127.64039994893865
-108.56589586154472,-28.677457966967793
-113.20975154077789,-390.9852575538004
-173.34443598964847,-95.69242332616601
-405.23775302868887,-259.3066256140585
-83.86379958697495,-240.211617194104
-310.9904525222512,-409.19691037334195
-330.48102943074053,-169.7778090023636
-132.1618219761179,-177.51499561467432
-157.66997335231952,-50.8003207359322
-79.98258379653615,-249.2920613450397
-340.07415750858036,-439.2579843186179
-104.88326281859071,-287.4110554108695
-171.71531838541057,-98.46368033202752
-201.51554123293613,-142.63354643114798
-122.36704371631834,-141.2262409450802
