Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9,Agent 10
-205.01539023286205,-176.73299488636243,-100.32112598464762,-253.5180009535489,-184.08467906076527,-175.7758133450769,-200.75367282447772,-214.4025126340995,-62.89222455057569,-128.71514612900768
-86.48633117657772,-97.87482064743412,-214.6719853184789,-311.61093644235757,-268.3729679763652,-246.73006551482013,-148.63746629781915,-39.559718526174166,-172.83023863500483,-182.925476216596
-462.93727188350255,-234.6815820188163,-106.02073106214137,22.390803528015184,-118.36166094423335,-147.13959018077415,-85.4909313553643,-135.403670295207,-177.63061345438234,-77.99324534356204
-192.448756640044,-107.02411372464431,-151.4130559796346,-284.20536054648045,-49.475872546807466,-92.62420683878004,-96.20093962350931,-240.54176915175447,-219.98549174420492,-88.74601735366474
-513.5668332233092,-43.99205703324883,-345.91533899050467,-127.83257366736753,-129.89507605946898,-123.71526840855529,-198.6916025091665,-216.72115146672547,-139.39264343820443,-143.96238620140878
-106.56850391240337,-91.90952992479663,-136.58440790210065,-125.04995264043438,-236.9796888826296,-106.91124160427705,-157.63318730340234,-114.73895684534078,-81.60590431577053,-79.92996214466488
-59.36878631311838,-295.400269382078,-184.68152223647968,-111.74398939782569,-91.2634378629997,-218.41139964058172,-139.61178765289867,-289.1599787851243,-157.84153080451685,-175.4543475309144
-242.48998936256677,-140.01101921174333,-86.80810667716781,-133.35131221071308,-154.30273692896367,-160.3615398746224,-140.49090228315663,-378.57102064209863,-161.7505358363532,-155.88157375681908
-115.56390402418286,-240.5757548300723,-97.28387386373153,-94.63680238345638,-108.62298996498004,-151.75434711044932,-112.29147114888734,-503.84834425129077,-189.59014096695068,-108.41916683242336
-102.32275597442671,-172.70621154513583,-130.1651691574897,-250.52038615935237,-82.85571333226628,-94.89921799155653,-122.03171738043686,-179.44270036060277,-104.36857875571845,-122.11795509057006
-93.31782017882665,-155.80837125262934,-137.98362992339761,-112.73557333230319,-142.92549018048248,-99.06870398814797,-277.5556626924249,-85.2790242821454,-299.1425406452935,-170.3836035543314
-92.6261292715414,-560.2847928865998,-270.66367418218204,-85.30767336326373,-401.3037659911158,-76.77907456269851,-154.11551362300483,-82.38563979259393,-178.1165822769358,-268.98035481380646
-306.95755466134085,-88.34176043742772,-77.41577096104717,-75.68063335882867,-87.70003840450065,-101.02686113057541,-115.58182806596204,-288.8805326721057,-128.4108574894063,-88.95881298379304
-255.25589361529842,-442.4935430088574,-228.09889338241146,-117.23290037500298,-132.57558342463253,-42.61215548889638,-160.51148900276422,-132.60514771975306,-473.5528416614226,-149.6546557909216
-439.76437854814424,-139.67047022953582,-111.4724877998543,-132.61431169279075,-176.78354455215117,-72.55526872121605,-83.47529855457371,-145.32477552176363,-134.83685174001116,-131.04473120372467
-106.61163340914806,-348.3391060866511,-246.2130841447408,-131.09687717003726,-309.80077428733625,-43.41172519610612,-90.17151009251677,-109.20189801851626,-159.1223334975941,-71.4411160915788
-155.39644635312817,-63.062956141413814,-294.5330628596463,-237.56228897814765,-155.44516254874617,-118.29794817176973,-212.77557525557285,-183.04250383337904,-465.35319686616447,-76.36576205677541
